idea_id,design_id,stage,epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
idea019,design001,1,10,395.1977,212.1902,766.7584,441.0039,476.8898,923.1178
idea019,design001,1,15,375.7205,205.4599,721.4011,439.0129,476.9962,889.8267
idea019,design001,1,20,367.7534,203.4137,701.4129,437.6225,476.3813,873.6799
idea019,design002,1,5,449.7819,217.1321,922.1314,401.2612,497.2311,1029.0452
idea019,design002,1,10,375.6455,204.3281,723.4717,383.8877,487.6876,838.8407
idea019,design002,1,15,371.7200,197.4585,725.5238,364.8907,464.8975,839.8774
idea019,design002,1,20,359.0181,195.8065,690.3870,356.5737,453.7502,805.3576
idea019,design003,1,5,436.3877,214.7802,886.3181,412.0166,519.9627,999.8487
idea019,design003,1,10,372.9650,197.7954,728.6123,369.0561,466.2331,846.8747
idea019,design003,1,15,374.1004,196.7124,734.2517,361.2039,457.1513,851.4130
idea019,design003,1,20,355.6887,195.0341,681.8661,352.9269,446.4926,801.2435
idea020,design001,1,5,432.3417,218.7663,865.9645,444.9773,475.6378,1009.7125
idea020,design001,1,10,368.6229,206.5883,697.6023,442.2131,475.2314,870.3016
idea020,design001,1,15,373.7142,197.0563,732.3832,439.1769,475.2287,893.0299
idea020,design001,1,20,352.6629,196.4782,669.7654,438.4829,474.6853,843.2448
idea020,design002,1,5,427.0211,218.7525,849.8694,444.7381,475.1063,991.0476
idea020,design002,1,10,357.7796,207.3479,663.2015,442.7033,476.5415,831.9826
idea020,design002,1,15,345.1286,199.7307,640.3304,440.7081,476.7848,814.9426
idea020,design002,1,20,336.4365,198.0965,617.3085,439.1149,475.5639,800.2352
idea020,design003,1,5,545.6929,222.9049,1201.0505,447.2796,478.8469,1320.8106
idea020,design003,1,10,412.4252,208.6719,826.1060,441.6126,475.0006,975.7646
idea020,design003,1,15,380.5931,200.5112,746.2140,439.3473,474.8348,903.3947
idea020,design003,1,20,370.0464,198.5016,718.3344,438.3182,474.3334,881.2496
idea021,design001,1,5,429.1612,217.2146,859.4772,442.5335,472.9204,1011.6348
idea021,design001,1,10,365.3998,203.4223,694.2633,441.9853,476.0885,865.9874
idea021,design001,1,15,353.2553,197.1043,670.2892,440.7291,476.9257,840.8880
idea021,design001,1,20,344.8176,196.3280,646.2965,440.1028,476.4701,827.1927
idea021,design002,1,5,423.5685,218.2998,840.3261,445.4190,475.7620,982.3788
